CustomerID,Recency_raw,Frequency_raw,Monetary_raw,Recency,Frequency,Monetary,KMeans_Cluster,Cluster,Segment
12346,325,1,77183.6,325.0,1.0,19780.487800000003,4,1,VIP Big Spenders
12347,1,7,4310.0,1.0,7.0,4310.0,5,0,Loyal Frequent Buyers
12348,74,4,1797.24,74.0,4.0,1797.24,3,0,Loyal Frequent Buyers
12349,18,1,1757.55,18.0,1.0,1757.55,1,1,VIP Big Spenders
12350,309,1,334.4,309.0,1.0,334.4,7,1,VIP Big Spenders
12352,35,8,2506.04,35.0,8.0,2506.04,3,0,Loyal Frequent Buyers
12353,203,1,89.0,203.0,1.0,89.0,6,1,VIP Big Spenders
12354,231,1,1079.4,231.0,1.0,1079.4,7,1,VIP Big Spenders
12355,213,1,459.4,213.0,1.0,459.4,7,1,VIP Big Spenders
12356,22,3,2811.43,22.0,3.0,2811.43,8,0,Loyal Frequent Buyers
12357,32,1,6207.67,32.0,1.0,6207.67,1,0,Loyal Frequent Buyers
12358,1,2,1168.06,1.0,2.0,1168.06,0,0,Loyal Frequent Buyers
12359,57,4,6310.03,57.0,4.0,6310.03,3,0,Loyal Frequent Buyers
12360,51,3,2662.06,51.0,3.0,2662.06,3,0,Loyal Frequent Buyers
12361,286,1,189.9,286.0,1.0,189.9,6,1,VIP Big Spenders
12362,2,10,5226.23,2.0,10.0,5226.23,5,0,Loyal Frequent Buyers
12363,109,2,552.0,109.0,2.0,552.0,4,1,VIP Big Spenders
12364,7,4,1313.1,7.0,4.0,1313.1,2,0,Loyal Frequent Buyers
12365,290,2,641.38,290.0,2.0,641.38,4,1,VIP Big Spenders
12367,3,1,168.9,3.0,1.0,168.9,9,1,VIP Big Spenders
12370,50,4,3541.94,50.0,4.0,3541.94,3,0,Loyal Frequent Buyers
12371,44,2,1887.96,44.0,2.0,1887.96,8,0,Loyal Frequent Buyers
12372,71,3,1298.04,71.0,3.0,1298.04,8,0,Loyal Frequent Buyers
12373,310,1,364.6,310.0,1.0,364.6,7,1,VIP Big Spenders
12374,24,1,742.9300000000001,24.0,1.0,742.9300000000001,1,1,VIP Big Spenders
12375,10,2,457.5,10.0,2.0,457.5,0,0,Loyal Frequent Buyers
12377,314,2,1628.12,314.0,2.0,1628.12,4,1,VIP Big Spenders
12378,129,1,4008.62,129.0,1.0,4008.62,1,1,VIP Big Spenders
12379,81,2,852.24,81.0,2.0,852.24,4,1,VIP Big Spenders
12380,21,4,2724.81,21.0,4.0,2724.81,3,0,Loyal Frequent Buyers
12381,4,5,1845.31,4.0,5.0,1845.31,2,0,Loyal Frequent Buyers
12383,184,5,1850.56,184.0,5.0,1850.56,3,0,Loyal Frequent Buyers
12384,28,2,585.27,28.0,2.0,585.27,0,1,VIP Big Spenders
12386,337,2,401.9,337.0,2.0,401.9,4,1,VIP Big Spenders
12388,15,6,2780.66,15.0,6.0,2780.66,2,0,Loyal Frequent Buyers
12390,79,1,549.84,79.0,1.0,549.84,1,1,VIP Big Spenders
12391,21,1,439.66,21.0,1.0,439.66,1,1,VIP Big Spenders
12393,71,4,1582.6000000000001,71.0,4.0,1582.6000000000001,3,0,Loyal Frequent Buyers
12394,63,2,1272.48,63.0,2.0,1272.48,8,1,VIP Big Spenders
12395,18,12,3018.63,18.0,12.0,3018.63,5,0,Loyal Frequent Buyers
12397,35,2,2409.9,35.0,2.0,2409.9,8,0,Loyal Frequent Buyers
12398,45,1,1635.6599999999999,45.0,1.0,1635.6599999999999,1,1,VIP Big Spenders
12399,118,4,1108.65,118.0,4.0,1108.65,4,0,Loyal Frequent Buyers
12401,302,1,84.3,302.0,1.0,84.3,6,1,VIP Big Spenders
12402,322,1,225.6,322.0,1.0,225.6,7,1,VIP Big Spenders
12403,49,1,427.7,49.0,1.0,427.7,1,1,VIP Big Spenders
12405,148,1,1710.39,148.0,1.0,1710.39,1,1,VIP Big Spenders
12406,21,2,3415.3,21.0,2.0,3415.3,8,0,Loyal Frequent Buyers
12407,49,5,1708.1200000000001,49.0,5.0,1708.1200000000001,3,0,Loyal Frequent Buyers
12408,32,5,2888.55,32.0,5.0,2888.55,3,0,Loyal Frequent Buyers
12409,78,3,11072.67,78.0,3.0,11072.67,3,0,Loyal Frequent Buyers
12410,308,2,693.3299999999999,308.0,2.0,693.3299999999999,4,1,VIP Big Spenders
12412,74,3,1226.88,74.0,3.0,1226.88,8,0,Loyal Frequent Buyers
12413,66,3,758.1,66.0,3.0,758.1,8,0,Loyal Frequent Buyers
12414,216,3,562.41,216.0,3.0,562.41,4,1,VIP Big Spenders
12415,23,21,124914.53,23.0,21.0,19780.487800000003,5,0,Loyal Frequent Buyers
12417,2,9,3649.1,2.0,9.0,3649.1,5,0,Loyal Frequent Buyers
12418,112,1,668.58,112.0,1.0,668.58,1,1,VIP Big Spenders
12420,63,1,600.39,63.0,1.0,600.39,1,1,VIP Big Spenders
12421,15,4,807.04,15.0,4.0,807.04,8,0,Loyal Frequent Buyers
12422,95,3,803.5600000000001,95.0,3.0,803.5600000000001,4,1,VIP Big Spenders
12423,0,8,1859.31,0.0,8.0,1859.31,2,0,Loyal Frequent Buyers
12424,162,2,1760.96,162.0,2.0,1760.96,4,1,VIP Big Spenders
12425,77,1,777.2,77.0,1.0,777.2,1,1,VIP Big Spenders
12426,194,1,582.73,194.0,1.0,582.73,7,1,VIP Big Spenders
12427,21,3,825.8,21.0,3.0,825.8,8,0,Loyal Frequent Buyers
12428,25,9,7956.46,25.0,9.0,7956.46,5,0,Loyal Frequent Buyers
12429,8,4,3750.4,8.0,4.0,3750.4,2,0,Loyal Frequent Buyers
12430,42,1,256.4,42.0,1.0,256.4,9,1,VIP Big Spenders
12431,35,15,6419.95,35.0,15.0,6419.95,5,0,Loyal Frequent Buyers
12432,42,5,5059.32,42.0,5.0,5059.32,3,0,Loyal Frequent Buyers
12433,0,7,13375.87,0.0,7.0,13375.87,5,0,Loyal Frequent Buyers
12434,84,2,806.14,84.0,2.0,806.14,4,1,VIP Big Spenders
12435,79,2,7829.89,79.0,2.0,7829.89,3,0,Loyal Frequent Buyers
12436,99,1,509.01,99.0,1.0,509.01,1,1,VIP Big Spenders
